"id","year","state_code","state_name","route_length","total_track"
217,"2019-2020",10,"Bihar",3794,7663
218,"2019-2020",22,"Chhatisgarh",1152,2914
219,"2019-2020",7,"Delhi",184,706
220,"2019-2020",30,"Goa",69,111
221,"2019-2020",24,"Gujarat",5301,7938
222,"2019-2020",6,"Haryana",1703,3243
223,"2019-2020",2,"Himachal Pradesh",312,376
224,"2019-2020",1,"Jammu and Kashmir",298,493
225,"2019-2020",20,"Jharkhand",2596,6296
226,"2019-2020",29,"Karnataka",3542,6083
227,"2019-2020",32,"Kerala",1045,2087
228,"2019-2020",23,"Madhya Pradesh",5148,9702
229,"2019-2020",27,"Maharashtra",5829,11631
230,"2019-2020",14,"Manipur",13,18
231,"2019-2020",17,"Meghalaya",9,13
232,"2019-2020",15,"Mizoram",2,6
233,"2019-2020",13,"Nagaland",11,23
234,"2019-2020",21,"Odisha",2652,5506
235,"2019-2020",3,"Punjab",2265,3622
236,"2019-2020",8,"Rajasthan",5998,9190
237,"2019-2020",33,"Tamil Nadu",4036,6836
238,"2019-2020",36,"Telangana",1828,3223
239,"2019-2020",16,"Tripura",265,337
240,"2019-2020",5,"Uttarakhand",346,528
241,"2019-2020",9,"Uttar Pradesh",8808,16001
242,"2019-2020",19,"West Bengal",4217,10309
243,"2019-2020",4,"Chandigarh",16,83
244,"2019-2020",34,"Puducherry",22,26
245,"2020-2021",28,"Andhra Pradesh",3965,7826
246,"2020-2021",12,"Arunachal Pradesh",12,26
247,"2020-2021",18,"Assam",2519,3734
248,"2020-2021",10,"Bihar",3803,6736
249,"2020-2021",22,"Chhatisgarh",1170,3005
250,"2020-2021",7,"Delhi",184,706
251,"2020-2021",30,"Goa",69,105
252,"2020-2021",24,"Gujarat",5327,8167
253,"2020-2021",6,"Haryana",1703,3224
254,"2020-2021",2,"Himachal Pradesh",312,376
255,"2020-2021",1,"Jammu and Kashmir",298,493
256,"2020-2021",20,"Jharkhand",2573,6176
257,"2020-2021",29,"Karnataka",3572,6446
258,"2020-2021",32,"Kerala",1047,2138
259,"2020-2021",23,"Madhya Pradesh",5140,9844
260,"2020-2021",27,"Maharashtra",5823,11809
261,"2020-2021",14,"Manipur",13,18
262,"2020-2021",17,"Meghalaya",9,13
263,"2020-2021",15,"Mizoram",2,6
264,"2020-2021",13,"Nagaland",11,23
265,"2020-2021",21,"Odisha",2703,5721
266,"2020-2021",3,"Punjab",2265,3631
267,"2020-2021",8,"Rajasthan",6019,9279
268,"2020-2021",33,"Tamil Nadu",4033,6963
269,"2020-2021",36,"Telangana",1871,3255
270,"2020-2021",16,"Tripura",265,337
271,"2020-2021",5,"Uttarakhand",346,555
272,"2020-2021",9,"Uttar Pradesh",8799,15485
273,"2020-2021",19,"West Bengal",4212,10408
274,"2020-2021",4,"Chandigarh",16,79
275,"2020-2021",34,"Puducherry",22,27
276,"2021-2022",28,"Andhra Pradesh",3969,8050
277,"2021-2022",12,"Arunachal Pradesh",12,26
278,"2021-2022",18,"Assam",2571,3888
279,"2021-2022",10,"Bihar",3825,6834
280,"2021-2022",22,"Chhatisgarh",1170,3040
281,"2021-2022",7,"Delhi",184,706
282,"2021-2022",30,"Goa",69,124
283,"2021-2022",24,"Gujarat",4960,7849
284,"2021-2022",6,"Haryana",1712,3239
285,"2021-2022",2,"Himachal Pradesh",312,376
286,"2021-2022",1,"Jammu and Kashmir",298,499
287,"2021-2022",20,"Jharkhand",2591,6132
288,"2021-2022",29,"Karnataka",3596,6623
289,"2021-2022",32,"Kerala",1047,2106
290,"2021-2022",23,"Madhya Pradesh",5188,10090
291,"2021-2022",27,"Maharashtra",5861,12044
292,"2021-2022",14,"Manipur",13,18
293,"2021-2022",17,"Meghalaya",9,13
294,"2021-2022",15,"Mizoram",2,6
295,"2021-2022",13,"Nagaland",25,41
296,"2021-2022",21,"Odisha",2720,5832
297,"2021-2022",3,"Punjab",2265,3671
298,"2021-2022",8,"Rajasthan",6046,9573
299,"2021-2022",33,"Tamil Nadu",4033,6986
300,"2021-2022",36,"Telangana",1913,3360
301,"2021-2022",16,"Tripura",265,337
302,"2021-2022",5,"Uttarakhand",346,517
303,"2021-2022",9,"Uttar Pradesh",8800,16063
304,"2021-2022",19,"West Bengal",4203,10156
305,"2021-2022",4,"Chandigarh",16,79
306,"2021-2022",34,"Puducherry",21,27
